,AV FISTULA 16 G X 1 1/4 ,,|00M|,,,|1.01.04.01.006|,|1030|,15834,,| |,,|M00|,0,,| |
,TENOFOVIR 300 mg TAB (RICOVIR),,|00M|,,,|1.01.04.01.002|,|201009|,8057,,| |,,|M00|,7625,,| |
,LOPINAVIR 200 mg + RITONAVIR 50 mg (ALUVIA) (HIV),,|00M|,,,|1.01.04.01.002|,|205001|,10174,,| |,,|M00|,7119.68,,| |
,FENOFIBRAT KAPS 100 MG,,|00M|,,,|1.01.04.01.001|,|205004|,32,,| |,,|M00|,1760,,| |
,RITUKSIMAB INJ 500 MG/50ML (MABTHERA),,|00M|,,,|1.01.04.01.004|,|218000|,59,,| |,,|M00|,7645000,,| |
,LOPERAMID TAB 2 MG,,|00M|,,,|1.01.04.01.002|,|240411|,1342,,| |,,|M00|,220,,| |
,GRIPPER PLUS 22GX75 NEEDLELES,,|00M|,,,|1.01.04.01.007|,|276624|,482,,| |,,|M00|,110000,,| |
,MGIT 960 SIRE KIT,,|00M|,,,|1.01.04.01.001|,|301007|,19,,| |,,|M00|,2114951,,| |
,BACTEC MGIT 960 SUPLEMENT,,|00M|,,,|1.01.04.01.999|,|301008|,16,,| |,,|M00|,1316546,,| |
,BICARBONAT BUBUK - NIPROCART A2F 760 POWDER,,|00M|,,,|1.01.04.01.004|,|306006|,8302,,| |,,|M00|,173800,,| |
,CONCENTRATE TYPE AK1 @10 LTR ( HD ),,|00M|,,,|1.01.04.01.001|,|306007|,4236,,| |,,|M00|,86680,,| |
,ETHYLENE OXID GAS,,|00M|,,,|1.01.04.01.003|,|601001|,2,,| |,,|M00|,2173913.5,,| |
,NATRIUM DIKLOFENAK 1 MG TETES MATA (CENDO NONCORT MINIDOSE),,|00M|,,,|1.01.04.01.001|,|842551|,2,,| |,,|M00|,43221.75,,| |
,ANGIOGRAPHIC ONE WALL (BISAWI),,|00M|,,,|1.01.04.01.006|,|1010004|,196,,| |,,|M00|,55000,,| |
,BEAKER GLASS 1000 ML,,|00M|,,,|1.01.04.01.006|,|1010071|,2,,| |,,|M00|,108000,,| |
,ERLENMEYER 100 ML,,|00M|,,,|1.01.04.01.006|,|1010073|,5,,| |,,|M00|,49199.7,,| |
,ERLENMEYER 500 ML,,|00M|,,,|1.01.04.01.006|,|1010074|,7,,| |,,|M00|,59500.1,,| |
,ERLENMEYER 50 ML,,|00M|,,,|1.01.04.01.006|,|1010075|,10,,| |,,|M00|,47250.5,,| |
,GELAS UKUR 100 ML,,|00M|,,,|1.01.04.01.006|,|1010076|,1,,| |,,|M00|,330000,,| |
,NICHIBAN,,|00M|,,,|1.01.04.01.006|,|1010090|,546,,| |,,|M00|,43560,,| |
,GIGLI WIRE SAW FH 414,,|00M|,,,|1.01.04.01.007|,|1010091|,36,,| |,,|M00|,1453760,,| |
,GIGLI WIRE SAW FH415,,|00M|,,,|1.01.04.01.006|,|1010096|,66,,| |,,|M00|,1539120,,| |
,FENOBARBITAL INJ 50 MG/ML,,|00M|,,,|1.01.04.01.001|,|1010121|,776,,| |,,|M00|,1982,,| |
,IV CATH NO.16,,|00M|,,,|1.01.04.01.006|,|1010158|,147,,| |,,|M00|,6270,,| |
,MASKER N95 3M,,|00M|,,,|1.01.04.01.006|,|1010219|,1476,,| |,,|M00|,20000,,| |
,MASKER INHALASI ANAK,,|00M|,,,|1.01.04.01.006|,|1010220|,524,,| |,,|M00|,40898,,| |
,NASAL OXYGEN DEWASA,,|00M|,,,|1.01.04.01.006|,|1010238|,2223,,| |,,|M00|,6400,,| |
,NEEDLE NO.19,,|00M|,,,|1.01.04.01.006|,|1010242|,322,,| |,,|M00|,594,,| |
,NEEDLE NO.18,,|00M|,,,|1.01.04.01.006|,|1010243|,6721,,| |,,|M00|,193.6,,| |
,MASKER NON REBREATHING DEWASA,,|00M|,,,|1.01.04.01.006|,|1010249|,213,,| |,,|M00|,15700,,| |
,POUCHES 10 X 200 FLAT,,|00M|,,,|1.01.04.01.006|,|1010282|,4,,| |,,|M00|,298623,,| |
,MASKER REBREATHING ADULT,,|00M|,,,|1.01.04.01.006|,|1010293|,262,,| |,,|M00|,17820,,| |
,STOMACH TUBE NO.16,,|00M|,,,|1.01.04.01.006|,|1010328|,1844,,| |,,|M00|,12429.65,,| |
,URIN BAG,,|00M|,,,|1.01.04.01.006|,|1010371|,8190,,| |,,|M00|,3000,,| |
,FOLLEY CATHETER NO. 22,,|00M|,,,|1.01.04.01.006|,|1010429|,127,,| |,,|M00|,11275,,| |
,MOUTHPIECE DEMKA SAKTI 2.5cm,,|00M|,,,|1.01.04.01.006|,|1010544|,12,,| |,,|M00|,528000,,| |
,STERINTECH STEAM INDICATOR KLAS 5 COMPLY,,|00M|,,,|1.01.04.01.006|,|1010561|,64,,| |,,|M00|,402226,,| |
,WOUND DRAIN 400 ML NO 12,,|00M|,,,|1.01.04.01.006|,|1010647|,25,,| |,,|M00|,68149.4,,| |
,Y CONECTOR IBS (ANDOCOR),,|00M|,,,|1.01.04.01.006|,|1010723|,55,,| |,,|M00|,112200,,| |
,ID BAND INFANT PINK,,|00M|,,,|1.01.04.01.006|,|1010727|,6574,,| |,,|M00|,1078,,| |
,THORASIC THROCAR CATETHER 32 WELLMED,,|00M|,,,|1.01.04.01.006|,|1010764|,83,,| |,,|M00|,75911,,| |
,HAND SCOEN NITRIL NON STERIL,,|00M|,,,|1.01.04.01.006|,|1010765|,96051,,| |,,|M00|,3510,,| |
,ENDOPATCH XCEL DILATING TIP TROCAR 10/11 MM (JNJ),,|00M|,,,|1.01.04.01.007|,|1010786|,7,,| |,,|M00|,1683000,,| |
,ENDOPATCH XCEL DILATING TIP TROCAR 5 MM (JNJ),,|00M|,,,|1.01.04.01.007|,|1010787|,4,,| |,,|M00|,1683000,,| |
,CATGUT CHROMIC 3-0 CUTING BB2360,,|00M|,,,|1.01.04.01.006|,|1020009|,24,,| |,,|M00|,59938.56,,| |
,MERSILK 4-0 TAP W 582,,|00M|,,,|1.01.04.01.006|,|1020011|,129,,| |,,|M00|,38435.5,,| |
,MERSILK 0 TAP 334,,|00M|,,,|1.01.04.01.006|,|1020043|,138,,| |,,|M00|,49162.67,,| |
,POLYSORB 2-0 TP CL 811,,|00M|,,,|1.01.04.01.006|,|1020069|,44,,| |,,|M00|,58027.2,,| |
,CAT GUT CHROMIC 3-0 DS 24 (23670),,|00M|,,,|1.01.04.01.006|,|1020089|,77,,| |,,|M00|,20763.5,,| |
,MONOSYN 1 HR 48,,|00M|,,,|1.01.04.01.006|,|1020090|,435,,| |,,|M00|,124740,,| |
,CATGUT CHROMIC 0 HR 37 S 0979,,|00M|,,,|1.01.04.01.006|,|1020092|,56,,| |,,|M00|,21077,,| |
,SOFSILK 3-0 TP GS 832,,|00M|,,,|1.01.04.01.006|,|1020153|,1509,,| |,,|M00|,39496.93,,| |
,T.LENE 3-0 L 68,,|00M|,,,|1.01.04.01.006|,|1020172|,236,,| |,,|M00|,117500,,| |
,T.LENE 5/0 L70 TAP.,,|00M|,,,|1.01.04.01.006|,|1020173|,108,,| |,,|M00|,123600,,| |
,MONOSYN 4-0 CUT BB2204,,|00M|,,,|1.01.04.01.006|,|1020245|,36,,| |,,|M00|,105600,,| |
,SAFIL 2-0 DS 24 CUT (8236),,|00M|,,,|1.01.04.01.006|,|1020297|,135,,| |,,|M00|,66847,,| |
,PREMILEN 3-0 DS 24; 235 / OPTILENE 3/0 DS 24,,|00M|,,,|1.01.04.01.006|,|1020298|,1704,,| |,,|M00|,52000,,| |
,BIOSYN 1 CM 966,,|00M|,,,|1.01.04.01.006|,|1020299|,150,,| |,,|M00|,125560,,| |
,CAT GUT PLAIN 0 CG 854,,|00M|,,,|1.01.04.01.006|,|1020300|,4,,| |,,|M00|,71500,,| |
,ASAHI GUIDE WIRE FIELDER FC,,|00M|,,,|1.01.04.01.006|,|1030024|,1,,| |,,|M00|,2299999.9,,| |
,POLIBIBS TOWELS,,|00M|,,,|1.01.04.01.006|,|1030048|,7.2,,| |,,|M00|,226875,,| |
,GUIDE WIRE 0.038,,|00M|,,,|1.01.04.01.007|,|1030093|,43,,| |,,|M00|,165000,,| |
,PEDIATRIC FULL BODY BLANKET/10 PCS,,|00M|,,,|1.01.04.01.006|,|1030591|,7,,| |,,|M00|,319999.9,,| |
,YELLOW TIP,,|00M|,,,|1.01.04.01.006|,|1040013|,95,,| |,,|M00|,175700,,| |
,DISPOSAFE SAFETY BOX 5 LTR,,|00M|,,,|1.01.04.01.006|,|1040065|,296,,| |,,|M00|,21500,,| |
,DISPOSAFE SAFETY BOX 12.5 LTR,,|00M|,,,|1.01.04.01.006|,|1040066|,2860,,| |,,|M00|,34000,,| |
,HOLLOW FIBER DIALYZER 15 H,,|00M|,,,|1.01.04.01.006|,|1040069|,2846,,| |,,|M00|,0,,| |
,PERFORMA CATHEHER 6F JR 3.5,,|00M|,,,|1.01.04.01.007|,|1050070|,39,,| |,,|M00|,285152.23,,| |
,OKSALIPLATIN SERB INJ 100 MG/VIAL (OXALIPLATIN MEDAC),,|00M|,,,|1.01.04.01.001|,|1050072|,50,,| |,,|M00|,247500,,| |
,ASAHI FIELDER XT,,|00M|,,,|1.01.04.01.006|,|1080021|,30,,| |,,|M00|,2530000,,| |
,LAMPU RING 20/22W,,|00M|,,,|1.01.04.01.006|,|1092016|,23,,| |,,|M00|,69193.3,,| |
,O RING 5 x 3 mm,,|00M|,,,|1.01.04.01.006|,|1092033|,150,,| |,,|M00|,2620.2,,| |
,LAMPU 6V 20W,,|00M|,,,|1.01.04.01.006|,|1092038|,10,,| |,,|M00|,77795.3,,| |
,KABEL POWER 2 M,,|00M|,,,|1.01.04.01.006|,|1092049|,50,,| |,,|M00|,25999.6,,| |
,O RING 13 x 8 mm,,|00M|,,,|1.01.04.01.006|,|1092056|,150,,| |,,|M00|,2620.2,,| |
,WASH GLOVE ONE MADE,,|00M|,,,|1.01.04.01.006|,|1123542|,44,,| |,,|M00|,12850,,| |
,MORTIR+STAMPER D 21 CM,,|00M|,,,|1.01.04.01.006|,|1123587|,1,,| |,,|M00|,650000,,| |
,SHARP CONTAINER 5 LITER,,|00M|,,,|1.01.04.01.006|,|1125420|,105,,| |,,|M00|,28875,,| |
,EASY CARE WASH GLOVES,,|00M|,,,|1.01.04.01.006|,|1125480|,71,,| |,,|M00|,20295,,| |
,DISPOSABLE PRESSURE INFUSOR 1000ML,,|00M|,,,|1.01.04.01.006|,|1128562|,2,,| |,,|M00|,577500,,| |
,ROL X28 (XE LAMP FOR EPK),,|00M|,,,|1.01.04.01.006|,|1135872|,1,,| |,,|M00|,22142890,,| |
,RESOLUTE INTEGRITY 3.0 X 30 MM,,|00M|,,,|1.01.04.01.006|,|1158724|,1,,| |,,|M00|,4165425,,| |
,3.5 DISTAL TIBIAL ANTEROLATERAL LCP 8 HOLE L (BAS),,|00M|,,,|1.01.04.01.006|,|1212319|,4,,| |,,|M00|,4651900,,| |
,4.5/5.0 PROXIMAL TIBIAL LCP 6 HOLE L(BAS),,|00M|,,,|1.01.04.01.006|,|1230151|,4,,| |,,|M00|,4511000,,| |
,RESOLUTE INTEGRITY 3.50 X 26 MM,,|00M|,,,|1.01.04.01.006|,|1243319|,2,,| |,,|M00|,4165425,,| |
,RESOLUTE INTEGRITY 3.00 X 38 MM,,|00M|,,,|1.01.04.01.006|,|1243419|,2,,| |,,|M00|,4165425,,| |
,RESOLUTE INTEGRITY 3.00 X 34 MM,,|00M|,,,|1.01.04.01.006|,|1243519|,3,,| |,,|M00|,4165425,,| |
,RESOLUTE INTEGRITY 3.00 X 26 MM,,|00M|,,,|1.01.04.01.006|,|1243619|,1,,| |,,|M00|,4165425,,| |
,RESOLUTE INTEGRITY 3.00 X 22 MM,,|00M|,,,|1.01.04.01.006|,|1243719|,2,,| |,,|M00|,4165425,,| |
,RESOLUTE INTEGRITY 3.00 X 18 MM,,|00M|,,,|1.01.04.01.006|,|1243819|,3,,| |,,|M00|,4165425,,| |
,RESOLUTE INTEGRITY 3.50 X 34 MM,,|00M|,,,|1.01.04.01.006|,|1243919|,1,,| |,,|M00|,4165425,,| |
,HEATER WIRE ADAPTER,,|00M|,,,|1.01.04.01.006|,|1325471|,2,,| |,,|M00|,6685250,,| |
,DEFERIPRON TAB SAL SELAPUT 500 MG (FERRIPROX FCT),,|00M|,,,|1.01.04.01.002|,|1410216|,522,,| |,,|M00|,33000,,| |
,KAPREOMISIN 1 g VIAL (MDR),,|00M|,,,|1.01.04.01.004|,|2010001|,2675,,| |,,|M00|,53816,,| |
,SEFTRIAKSON SERB INJ 1.000 MG/VIAL,,|00M|,,,|1.01.04.01.004|,|2010023|,13764,,| |,,|M00|,4483,,| |
,PIOGLITAZON TAB 15 MG,,|00M|,,,|1.01.04.01.002|,|2010029|,704,,| |,,|M00|,71.5,,| |
,PIOGLITAZON TAB 30 MG,,|00M|,,,|1.01.04.01.002|,|2010030|,1551,,| |,,|M00|,2145,,| |
,EFEDRIN INJ 50 MG/ML (EPHEDRINE),,|00M|,,,|1.01.04.01.001|,|2010044|,570,,| |,,|M00|,8569,,| |
,LIDOCAIN INJ,,|00M|,,,|1.01.04.01.001|,|2010078|,4260,,| |,,|M00|,1226,,| |
,BUPIVAKAIN INJ 20 ML (MARCAIN),,|00M|,,,|1.01.04.01.001|,|2010080|,2705,,| |,,|M00|,3971.1,,| |
,FITOMENADION (VITAMIN K1) INJ 10 MG/ML (I.M),,|00M|,,,|1.01.04.01.001|,|2010081|,4750,,| |,,|M00|,3450,,| |
,LAMIVUDIN TAB 100 MG (HEPLAV),,|00M|,,,|1.01.04.01.002|,|2010094|,585,,| |,,|M00|,5317,,| |
,DEKSMEDETOMIDIN INJ 100 MCG/ML (PRECEDEX),,|00M|,,,|1.01.04.01.001|,|2010108|,125,,| |,,|M00|,159213,,| |
,NEOSTIGMIN INJ 0.5 MG/ML,,|00M|,,,|1.01.04.01.001|,|2010159|,1520,,| |,,|M00|,7755,,| |
,FENITOIN INJ 50 MG/ML (PHENYTOIN),,|00M|,,,|1.01.04.01.001|,|2010189|,1066,,| |,,|M00|,3738,,| |
,NATRIUM HYALURONATE TETES MATA 0.1% (HIALID),,|00M|,,,|1.01.04.01.001|,|2010192|,4,,| |,,|M00|,83160,,| |
,ERITROPOETIN - ALFA INJ 2.000 IU (EPOTREX-NP),,|00M|,,,|1.01.04.01.001|,|2010194|,5,,| |,,|M00|,82055.06,,| |
,BEVASIZUMAB INJ 25 MG/ML (AVASTIN),,|00M|,,,|1.01.04.01.004|,|2010196|,17,,| |,,|M00|,3106391,,| |
,NACL INFUS 0.9% 100 ML (ECOSOL),,|00M|,,,|1.01.04.01.001|,|2020026|,27823,,| |,,|M00|,8360,,| |
,MAGNESIUM SULFAT INJ 40%,,|00M|,,,|1.01.04.01.001|,|2020051|,531,,| |,,|M00|,3796,,| |
,PARASETAMOL DRIPS (INFUS) 1000 MG/100 ML,,|00M|,,,|1.01.04.01.001|,|2020052|,3590,,| |,,|M00|,12389,,| |
,LIDOKAIN GEL 2 % 10 g (XYLOCAIN),,|00M|,,,|1.01.04.01.005|,|2030022|,1508,,| |,,|M00|,44391,,| |
,EUGENOL,,|00M|,,,|1.01.04.01.001|,|2030023|,3,,| |,,|M00|,115000,,| |
,BUDESONID SERB IH 200 MCG/DOSIS SWINGHALER (OBUCORT SWINGHALER)),,|00M|,,,|1.01.04.01.004|,|2030036|,99,,| |,,|M00|,102999.6,,| |
,DIAZEPAM TAB 2 MG,,|00M|,,,|1.01.04.01.002|,|2040032|,11346,,| |,,|M00|,137.5,,| |
,DOBUTAMIN INJ 50 MG/ML,,|00M|,,,|1.01.04.01.001|,|2040033|,3495,,| |,,|M00|,11843,,| |
,SIANOKOBALAMIN (VITAMIN B12) TAB 50 MCG,,|00M|,,,|1.01.04.01.002|,|2040081|,8106,,| |,,|M00|,82.5,,| |
,LEVETIRASETAM TAB 250 MG (KEPPRA),,|00M|,,,|1.01.04.01.002|,|2103421|,720,,| |,,|M00|,4200,,| |
,NEBIVOLOL TAB 5 MG (NEBILET),,|00M|,,,|1.01.04.01.002|,|2137800|,10,,| |,,|M00|,7160,,| |
,FITOMENADION (VIT K1) INJ 2 MG/ML (I.M) (TIAVIT K),,|00M|,,,|1.01.04.01.001|,|2231450|,1,,| |,,|M00|,7012.5,,| |
,BASO FOB PYRAMIDON SEMI QUANTITATIVE METHOD 200 TEST/BOX,,|00M|,,,|1.01.04.01.001|,|2235420|,2,,| |,,|M00|,803000,,| |
,STAMARIL,,|00M|,,,|1.01.04.01.001|,|2254231|,65,,| |,,|M00|,296000.1,,| |
,NATRIUM BIKARBONAT SERBUK,,|00M|,,,|1.01.04.01.004|,|3010018|,6501,,| |,,|M00|,60.06,,| |
,THIOGLYCOLAT MEDIUM,,|00M|,,,|1.01.04.01.001|,|3030102|,0.8,,| |,,|M00|,1100000,,| |
,N-ACETYL-L-CYSTEINE (LAB),,|00M|,,,|1.01.04.01.004|,|3030106|,2,,| |,,|M00|,2359500,,| |
,ETAMBUTOL 25 GR (LAB.),,|00M|,,,|1.01.04.01.004|,|3040085|,2,,| |,,|M00|,4640625,,| |
,BENZODIAZEPIN (LAB.),,|00M|,,,|1.01.04.01.004|,|3040130|,50,,| |,,|M00|,27225,,| |
,COCAINE CARD (ONCOPROB),,|00M|,,,|1.01.04.01.004|,|3040131|,500,,| |,,|M00|,27225,,| |
,GP TEST VITEK 2 1KIT/TEST/21342,,|00M|,,,|1.01.04.01.999|,|3040197|,17,,| |,,|M00|,2301750,,| |
,MULTIGEN CREATININE ENZYMATIC 750T,,|00M|,,,|1.01.04.01.001|,|3040239|,5,,| |,,|M00|,11777920,,| |
,CC ALKALINE WASH// ARC,,|00M|,,,|1.01.04.01.001|,|3040240|,12,,| |,,|M00|,1333200,,| |
,CC DETERGENT A,,|00M|,,,|1.01.04.01.001|,|3040243|,9,,| |,,|M00|,2199120,,| |
,CC DETERGENT B,,|00M|,,,|1.01.04.01.001|,|3040244|,2,,| |,,|M00|,15815360,,| |
,CC ACID WASH// ARC,,|00M|,,,|1.01.04.01.001|,|3040246|,4,,| |,,|M00|,1333200,,| |
,ALKALINE PHOSPHATASE 1500T// ARC,,|00M|,,,|1.01.04.01.001|,|3040249|,1,,| |,,|M00|,3738240,,| |
,AERO LAMP,,|00M|,,,|1.01.04.01.001|,|3040254|,7,,| |,,|M00|,2499200,,| |
,ARC SAMPLE CUPS,,|00M|,,,|1.01.04.01.006|,|3040255|,5,,| |,,|M00|,3071200,,| |
,ALT (ALANINE AMINO TRANSFERASE) 3621T//ARC,,|00M|,,,|1.01.04.01.001|,|3040256|,1,,| |,,|M00|,7282176,,| |
,AMYLASE 500T// ARC,,|00M|,,,|1.01.04.01.999|,|3040257|,1,,| |,,|M00|,4871680,,| |
,UREA NITROGEN 1500T// ARC,,|00M|,,,|1.01.04.01.001|,|3040259|,4,,| |,,|M00|,6837248,,| |
,GLUCOSE 1500T// ARC,,|00M|,,,|1.01.04.01.001|,|3040260|,1,,| |,,|M00|,3441856,,| |
,STREPTOMYCIN SULFATE 5 GR (LAB.),,|00M|,,,|1.01.04.01.004|,|3040283|,1,,| |,,|M00|,670312.5,,| |
,ISONIAZID (LAB.),,|00M|,,,|1.01.04.01.004|,|3040284|,1,,| |,,|M00|,573633.23,,| |
,KANAMYCIN SULFATE 1 GR (LAB.),,|00M|,,,|1.01.04.01.004|,|3040286|,1,,| |,,|M00|,3769218.75,,| |
,GN TEST VITEK2,,|00M|,,,|1.01.04.01.999|,|3050173|,28,,| |,,|M00|,2301750,,| |
,VITEK 2 AST GP67 CARDS,,|00M|,,,|1.01.04.01.001|,|3050175|,18,,| |,,|M00|,2301750,,| |
,CELLPACK DCL 20 L,,|00M|,,,|1.01.04.01.001|,|3050253|,14,,| |,,|M00|,1750320,,| |
,SULFOLYSER 1.5 (SLS 240A),,|00M|,,,|1.01.04.01.001|,|3050254|,4,,| |,,|M00|,1980000,,| |
,FLUOROCELL WNR,,|00M|,,,|1.01.04.01.001|,|3050256|,4,,| |,,|M00|,3597660,,| |
,LYSERCELL WDF 5L,,|00M|,,,|1.01.04.01.001|,|3050257|,6,,| |,,|M00|,3564000,,| |
,FLUOROCELL WDF,,|00M|,,,|1.01.04.01.001|,|3050258|,7,,| |,,|M00|,6996330,,| |
,FLUOROCELL WPC,,|00M|,,,|1.01.04.01.001|,|3050260|,3,,| |,,|M00|,1683000,,| |
,FLUOROCELL PLT,,|00M|,,,|1.01.04.01.001|,|3050261|,7,,| |,,|M00|,1584000,,| |
,LYSERCELL WPC,,|00M|,,,|1.01.04.01.001|,|3050262|,3,,| |,,|M00|,1108800,,| |
,ASAHI SION BLUE,,|00M|,,,|1.01.04.01.006|,|3102014|,29,,| |,,|M00|,1375000,,| |
,KHLORHEKSIDIN GLUKONAT 0.2% (ASEPTIC LIQUID)100 ML ,,|00M|,,,|1.01.04.01.001|,|3125402|,1111,,| |,,|M00|,12306,,| |
,CT MULTIPAK SYRINGE 200 ML ,,|00M|,,,|1.01.04.01.006|,|4010039|,166,,| |,,|M00|,136125,,| |
,VISIPAQ 320 mg / 50 ml,,|00M|,,,|1.01.04.01.001|,|4010040|,35,,| |,,|M00|,498575,,| |
,MICROPORE 2 INCH,,|00M|,,,|1.01.04.01.006|,|5020035|,4106,,| |,,|M00|,36156.89,,| |
,GAUSE PAD 10 X 10 CM X-RAY DETECTABLE ,,|00M|,,,|1.01.04.01.006|,|5020096|,20026,,| |,,|M00|,2475.23,,| |
,GAUSE PAD 7.5 X 7.5 CM,,|00M|,,,|1.01.04.01.006|,|5020097|,67700,,| |,,|M00|,1140.48,,| |
,PIRASETAM 400 MG TAB,,|00M|,,,|1.01.04.01.004|,|8010125|,3,,| |,,|M00|,410.3,,| |
,VIT K 10MG TAB,,|00M|,,,|1.01.04.01.002|,|8010156|,1001,,| |,,|M00|,757.9,,| |
,VIT C 50 MG TAB,,|00M|,,,|1.01.04.01.002|,|8010201|,91,,| |,,|M00|,105,,| |
,AMIKACIN 250 MG*12.5 % 2ML (500 MG),,|00M|,,,|1.01.04.01.004|,|8010213|,393,,| |,,|M00|,30450,,| |
,METILPREDNISOLON INJ 125 MG/2 ML,,|00M|,,,|1.01.04.01.001|,|8010215|,1482,,| |,,|M00|,11525,,| |
,KETOPROFEN 100 MG TABLET,,|00M|,,,|1.01.04.01.002|,|8010291|,2,,| |,,|M00|,6000.01,,| |
,ANALOG INSULIN : RAPID ACTING INJ 100 IU/ML PENFILL CATRIDGE 3 ML (NOVORAPID FLEXPEN) ,,|00M|,,,|1.01.04.01.001|,|9010012|,4085,,| |,,|M00|,87000,,| |
,ANALOG INSULIN LONG ACTING INJ 100 IU/ML PENFILL CATRIDGE (LANTUS SOLOSTAR) ,,|00M|,,,|1.01.04.01.001|,|9010075|,1048,,| |,,|M00|,83950,,| |
,HALOPERIDOL TAB 1.5 MG,,|00M|,,,|1.01.04.01.002|,|9010076|,1714,,| |,,|M00|,77,,| |
,DIGOKSIN 0.25 MG/ML 2 ML (FARGOXIN),,|00M|,,,|1.01.04.01.001|,|9010132|,666,,| |,,|M00|,25300,,| |
,FENOTEROL AEROSOL 100 MCG/PUFF (BEROTEC MDI),,|00M|,,,|1.01.04.01.003|,|9010147|,294,,| |,,|M00|,83189.7,,| |
